join 10249703 34169
join 3013974 75069
join 3078143 87219
join 7082603 119423
join 5305955 339959
join 1403565 507500
join 16409095 508908
join 890481 516996
join 1549178 595781
join 9438411 603385
join 16465846 627997
join 2339532 630327
join 3597322 720243
join 14569175 985684
join 8994466 1051879
join 15059192 1087033
join 1046309 1202055
join 16168676 1355701
join 11104799 1439886
join 4549489 1497019
join 7502107 1498344
join 16021371 1560511
join 3837263 1611820
join 11646864 1901331
join 14914746 1969499
join 16518358 2051071
join 3669023 2059397
join 1574899 2184636
join 2281765 2234842
join 12832808 2237150
join 8705004 2260989
join 13743186 2285693
join 12410734 2318250
join 13875766 2332936
join 2831494 2387668
join 6371857 2526894
join 7601095 2555971
join 690372 2621634
join 5750649 2644616
join 47586 2663059
join 16645296 2750783
join 1714340 2751543
join 1869403 2844945
join 10803449 2942706
join 2656099 3026503
join 15427400 3080170
join 1196610 3103559
join 4335201 3121730
join 8750801 3134294
join 3568447 3281877
join 3081792 3304109
join 5138681 3335514
join 15556318 3362596
join 5344032 3426026
join 1389075 3504587
join 8417930 3572697
join 5180346 3728167
join 4794260 3758424
join 13421510 3810445
join 11200919 3814818
join 5679535 3817373
join 10661497 3849319
join 5467259 3902836
join 3706274 3909567
join 16430450 3919497
join 9023140 3969633
join 437811 4078465
join 13417915 4088633
join 3213659 4091501
join 3746664 4219573
join 7376350 4297175
join 5859891 4316464
join 5519650 4333850
join 2829231 4361094
join 9474644 4483979
join 1464338 4494707
join 7104040 4500811
join 5253109 4520292
join 10345319 4537608
join 10012144 4575247
join 16234106 4606301
join 12733581 4726631
join 16419891 4727008
join 15888832 4761931
join 11359012 4868159
join 7459070 4974347
join 15022876 5103228
join 14514843 5117077
join 7195896 5206728
join 5929256 5409987
join 14597011 5410369
join 15047505 5459533
join 2742215 5533089
join 717919 5626724
join 12482782 5641625
join 6308872 5668443
join 12988133 5688852
join 11834375 5808992
join 11639518 5826024
join 15487144 5851646
join 13804272 5911168
join 8179462 5971197
join 2710744 5991054
join 15815244 6053584
join 6483949 6085192
join 9799966 6158220
join 12360879 6239852
join 9227580 6283762
join 11593653 6290069
join 11413413 6321443
join 3898347 6371378
join 2461677 6543969
join 3210307 6846009
join 12740073 6855611
join 8464827 6862933
join 4293925 6885854
join 841785 6952859
join 764600 6970644
join 1613261 7063785
join 13459170 7064495
join 4769912 7108205
join 12400955 7165265
join 14552176 7396845
join 15456671 7471291
join 14796819 7506250
join 16667834 7536741
join 11037939 7666866
join 2027215 7784743
join 16648348 7794546
join 12320857 7802202
join 9440075 7844168
join 13827843 7844751
join 12310954 7874129
join 13834389 7882500
join 14395072 7893683
join 5244211 7921708
join 221049 8038687
join 2741346 8216385
join 5719270 8224017
join 7364624 8372145
join 11513670 8462219
join 5656824 8512516
join 9607539 8576511
join 3245424 8623363
join 5674112 8657621
join 1037415 8662115
join 15403848 8668378
join 8618832 8675637
join 12680487 8701305
join 8084587 8766331
join 16192350 8795613
join 12686114 8809418
join 14196749 8810733
join 14409409 8815765
join 71046 8916335
join 6877678 8989008
join 12252060 9011228
join 581895 9028720
join 3441326 9100374
join 14561056 9189045
join 2616385 9225648
join 7452411 9230018
join 13686515 9386166
join 12180606 9388745
join 4970033 9422304
join 3110916 9516545
join 39560 9597052
join 4021350 9600663
join 14447276 9610516
join 597898 9749542
join 6650361 9758218
join 9325824 9806720
join 3232863 9930689
join 7207590 9962291
join 13735039 10017597
join 15789628 10090334
join 3812686 10091876
join 817228 10149094
join 5758851 10337840
